domain,logo_url,logo_path,phash
autosecuritas-ct-seysses.fr,https://autosecuritas-ct-seysses.fr/public/img/showcase/favicons/apple-touch-icon.png,logos/autosecuritas-ct-seysses.fr.png,edc69a31668c6963
ovb.ro,https://ovb.ro/favicon.ico,logos/ovb.ro.png,af352f6be0ca408d
mazda-autohaus-hellwig-hoyerswerda.de,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,logos/mazda-autohaus-hellwig-hoyerswerda.de.png,f572004d4f333d6c
ebay.cn,https://www.ebay.cn/favicon.ico,logos/ebay.cn.png,914e4e4ecd999999
wurth-international.com,https://wurth-international.com/system/layout_wl2bootstrap/bootstrap_system_images/touchicons/touchicon_wuerth_res_wl2_touch_16.png,logos/wurth-international.com.png,bd0bc0b4c3d23f23
plameco-hannover.de,https://plameco-hannover.de/favicon.ico,logos/plameco-hannover.de.png,9570528fcb324ddc
kia-moeller-wunstorf.de,https://kia-moeller-wunstorf.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/rbr-fav.ico,logos/kia-moeller-wunstorf.de.png,b2d2cd2d12d2e52d
zalando.cz,https://mosaic01.ztat.net/zds/assets/favicon/zalando-app-touch-icon-180-lagom-v2.png,logos/zalando.cz.png,b132cecf6cc93232
crocs.com.uy,https://f.fcdn.app/assets/commerce/www.crocs.com.uy/8656_f748/public/web/favicon.ico,logos/crocs.com.uy.png,c1693e96c5697a94
engie.co.uk,https://www.engie.co.uk/wp-content/uploads/2025/01/cropped-Royal-Highness-King-Charles-III-on-9-May-1984-2-32x32.png,logos/engie.co.uk.png,bcc3d31e693186c3
ibc-solar.jp,https://ibc-solar.jp/config/Resources/favicons/apple-touch-icon.png,logos/ibc-solar.jp.png,bf3cc0c1c136b696
nobleprog.mx,https://nobleprog.mx/favicon.png,logos/nobleprog.mx.png,c3263d592cf92cd1
freseniusmedicalcare.ca,https://freseniusmedicalcare.ca/assets/images/favicon/apple-touch-icon-57x57.png,logos/freseniusmedicalcare.ca.png,bb2ecac2d4d0b331
synlab.com.tr,https://synlab.com.tr/templates/synlab/favicon.ico,logos/synlab.com.tr.png,bccec3303ccfc330
ebayglobalshipping.com,https://ebayglobalshipping.com/themes/custom/custom_barrio/app/images/favicon.ico,logos/ebayglobalshipping.com.png,b9ec64b3b2326266
affidea.ba,https://affidea.ba/wp-content/themes/affidea/assets/img/favicon.png,logos/affidea.ba.png,d45a2ba57fa47884
bakertilly.lu,https://bakertilly.lu/apple-touch-icon.png,logos/bakertilly.lu.png,eb96946893234e6d
spitex-wasseramt.ch,https://spitex-wasseramt.ch/img/spitex2014/default/favicon.ico,logos/spitex-wasseramt.ch.png,91a7797364c346cc
aamcoanaheim.net,https://aamcoanaheim.net/images/IconAAMCOnew.ico,logos/aamcoanaheim.net.png,c1b16e4e313bd4e4
deheus.com.vn,https://deheus.com.vn/Assets/favicons/apple-touch-icon.png,logos/deheus.com.vn.png,bfcac0358b383c53
veolia.com.ru,https://veolia.com.ru/themes/custom/veo_site/src/assets/icons/favicon.ico,logos/veolia.com.ru.png,887617955ad67899
julis-sh.de,https://julis-sh.de/wp-content/uploads/2022/06/220605_Julia_Favicon_148-150x150.png,logos/julis-sh.de.png,eccf933064c94c6d
aamcoconyersga.com,https://aamcoconyersga.com/images/IconAAMCOnew.ico,logos/aamcoconyersga.com.png,c1b16e4e313bd4e4
baywa-re.es,https://baywa-re.es/typo3conf/ext/gg_base/Resources/Public/country/dist/img/favicons/favicon.ico,logos/baywa-re.es.png,f225022d1ab5faf2
menschenfuermenschen.at,https://menschenfuermenschen.at/favicon-96x96.png,logos/menschenfuermenschen.at.png,be9c4963b49c1a4b
europa-union-sachsen-anhalt.de,https://europa-union-sachsen-anhalt.de/typo3conf/ext/skeud/Resources/Public/Icons/eud.ico,logos/europa-union-sachsen-anhalt.de.png,c01fb495691f3ee0
wurthsaudi.com,https://wurthsaudi.com/assets/img/favicon1.png,logos/wurthsaudi.com.png,aa00800080008000
pirtek.be,https://www.pirtek.be/wp-content/uploads/2021/03/PIR_rgb_favicon-32.png,logos/pirtek.be.png,8a00200082008800
aamcoseguin.com,https://www.aamcoseguin.com/wp-content/uploads/2018/11/cropped-AAMCO_favicon-192x192.png ,logos/aamcoseguin.com.png,81b16e4c2b3bf4e4
bakertilly.es,https://bakertilly.es/apple-touch-icon.png,logos/bakertilly.es.png,eb96946893234e6d
